timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,batt_1,batt_2,batt_3,note,ppg_1,ppg_2,ppg_3
1753770440.4607010,348.13187,805.8608,796.99634,150.69597,nan,nan,,,,,,,
1753770440.4645975,1542.4176,817.5458,800.2198,1299.8535,nan,nan,,,,,,,
1753770440.4684939,1603.663,817.5458,811.0989,1650.0,nan,nan,,,,,,,
1753770440.4723904,401.72162,811.50183,819.9634,633.8095,nan,nan,,,,,,,
1753770440.4762871,0.0,806.26373,817.5458,0.0,nan,nan,,,,,,,
1753770440.4801836,234.10257,807.47253,812.3077,123.2967,nan,nan,,,,,,,
1753770440.4840801,1440.8792,815.5311,817.5458,1274.8718,nan,nan,,,,,,,
1753770440.4879766,1650.0,809.0842,813.91943,1650.0,nan,nan,,,,,,,
1753770440.4918730,441.2088,798.60803,808.2784,726.08057,nan,nan,,,,,,,
1753770440.4957695,0.0,797.3993,806.26373,0.0,nan,nan,,,,,,,
1753770440.4981425,,,,,,,,,,,354113760.0,301868200.0,1872820.5
1753770440.4996660,140.62271,803.44324,801.02563,114.83517,nan,nan,,,,,,,
1753770440.5035627,1288.5714,815.12823,794.57874,1224.9084,nan,nan,,,,,,,
1753770440.5074592,1650.0,816.337,798.20514,1650.0,nan,nan,,,,,,,
1753770440.5113556,641.8681,807.47253,809.4872,1065.348,nan,nan,,,,,,,
1753770440.5137150,,,,,,,,,,,353988060.0,301880300.0,1851868.1
1753770440.5152521,0.0,793.36993,815.12823,4.029304,nan,nan,,,,,,,
1753770440.5191486,1254.3224,820.3663,817.1429,1147.9487,nan,nan,,,,,,,
1753770440.5230451,132.5641,801.4286,817.1429,23.369963,nan,nan,,,,,,,
1753770440.5269415,1650.0,824.7985,820.3663,1650.0,nan,nan,,,,,,,
1753770440.5292878,,,,,,,,,,,354133120.0,301973760.0,1852674.0
1753770440.5308383,921.9048,813.91943,812.71063,1272.0513,nan,nan,,,,,,,
1753770440.5347347,0.0,797.8022,806.6667,136.5934,nan,nan,,,,,,,
1753770440.5386312,95.49451,794.57874,804.65204,0.0,nan,nan,,,,,,,
1753770440.5425277,1234.1758,813.1135,806.6667,981.53845,nan,nan,,,,,,,
1753770440.5448604,,,,,,,,,,,354093630.0,301877900.0,1764029.2
1753770440.5464242,1650.0,822.7839,811.9048,1650.0,nan,nan,,,,,,,
1753770440.5503206,1185.8242,810.696,813.5165,1414.2858,nan,nan,,,,,,,
1753770440.5542173,57.61905,800.2198,810.293,269.96338,nan,nan,,,,,,,
1753770440.5581138,0.0,797.3993,804.2491,0.0,nan,nan,,,,,,,
1753770440.5604329,,,,,,,,,,,354128300.0,301940740.0,1851062.2
1753770440.5620103,1148.3517,822.7839,811.9048,787.72894,nan,nan,,,,,,,
1753770440.5659068,1650.0,834.4689,821.978,1650.0,nan,nan,,,,,,,
1753770440.5698032,1307.5092,809.89014,821.1722,1472.3077,nan,nan,,,,,,,
1753770440.5736997,161.97803,795.38464,809.4872,339.2674,nan,nan,,,,,,,
1753770440.5760057,,,,,,,,,,,354125860.0,301939940.0,1857509.1
1753770440.5775962,0.0,788.5348,795.78754,0.0,nan,nan,,,,,,,
1753770440.5814929,971.06226,793.36993,793.7729,422.27106,nan,nan,,,,,,,
1753770440.5853894,1650.0,811.50183,801.02563,1592.381,nan,nan,,,,,,,
1753770440.5892859,1444.9084,806.6667,810.293,1554.5055,nan,nan,,,,,,,
1753770440.5915782,,,,,,,,,,,354168580.0,301910100.0,1851062.2
1753770440.5931823,310.2564,789.34064,811.9048,349.34067,nan,nan,,,,,,,
1753770440.5970788,0.0,788.1319,805.05493,0.0,nan,nan,,,,,,,
1753770440.6009753,742.6007,799.81683,804.65204,281.24542,nan,nan,,,,,,,
1753770440.6048717,1650.0,813.5165,810.293,1498.4982,nan,nan,,,,,,,
1753770440.6071508,,,,,,,,,,,354159700.0,301887550.0,1850256.4
1753770440.6087685,1503.3334,812.71063,813.1135,1606.0806,nan,nan,,,,,,,
1753770440.6126649,363.44324,801.4286,807.47253,373.11356,nan,nan,,,,,,,
1753770440.6165614,0.0,797.3993,799.81683,0.0,nan,nan,,,,,,,
1753770440.6204579,469.011,807.0696,794.9817,190.98901,nan,nan,,,,,,,
